solv_comb_sm,salt_sm,true_conductivity_log,class,group
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.63871,Ether,in-house
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.77209,Ether,in-house
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.9294,Ether,in-house
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.11555,Ether,in-house
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.33762,Ether,in-house
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.60501,Ether,in-house
B(OCCF)(OCCF)OCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.10774,Others,in-house
B(OCCF)(OCCF)OCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0748,Others,in-house
B(OCCF)(OCCF)OCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0265,Others,in-house
B(OCCF)(OCCF)OCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.02962,Others,in-house
B(OCCF)(OCCF)OCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.09796,Others,in-house
B(OCCF)(OCCF)OCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.18677,Others,in-house
B(OCCF)(OCCF)OCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.2987,Others,in-house
B(OCCF)(OCCF)OCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.43392,Others,in-house
B(OCCF)(OCCF)OCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.60323,Others,in-house
C(COCCOC)(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.28312,Ether,in-house
C(COCCOC)(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.25897,Ether,in-house
C(COCCOC)(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.22854,Ether,in-house
C(COCCOC)(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.18997,Ether,in-house
C(COCCOC)(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.14302,Ether,in-house
C(COCCOC)(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0832,Ether,in-house
