smiles,IE,EA
CC1=CCC=C(F)S1,4.281323462,0.341910106
C([C@@](CC=C)(C)O)C(C)C,4.916313731,-0.68991816
C=Cc1cnc(cn1)NC,4.141471518,0.680625616
CNC1(CCCc2cc(c(cc12)O)O)NC,4.059383557,-0.480830793
c1c(csc1C(Br)(Br)Br)C(=O)O,5.494856865,2.919405686
[C@@H]1(C[C@H](CSC1)C#C)C#C,4.953906347,-0.604174621
c1(NCC(=O)O)ccccc1,4.015482024,0.201648973
c1cc(ccn1)c1c(cnc(c1)C)F,5.649697144,1.12318112
P(c1ccccc1)(c1ccccc1)c1ccccc1,4.102840632,0.127710514
c1ccc(cc1)C1(CCCC1)N(=O)=O,5.496334487,1.59095302
Cn1cc(cc1N)N(=O)=O,3.951833749,1.523872358
CC(C)(C)c1ccc2c(c1)[nH]sn2C(=O)O,3.673860295,2.937733683
CO[C@@]1(C#N)COCCO1,5.957856889,0.216588178
CN(C)c1ccc(c2c1ONO2)C(=O)O,4.1071168,0.723963321
C1(N=NC(CC1)(C)C)(C)C,4.113042648,0.406109244
COCCOCCOc1c(ccc2c1[nH]s[nH]2)c1ccccc1,3.504329643,2.130828212
C(CCO)n1c2c(nn1)cccc2,5.196561857,0.56257973
C#C[C@@H]1CN(C)[C@H](C#N)CN1C,4.4903847,-0.375348507
c12c(cccc2)ncn1C,4.841320817,-0.175030978
CCC1=C(N(C)C)SC=CC1,3.557483157,-0.623869924
CC(C)(C)c1cc(cc2c1ONO2)N(=O)=O,4.823654397,2.041644031
C1(=CC(=O)C=CC1=O)c1ccccc1,5.332271056,2.742953933
CN1C[C@@H]([C]([NH])O)N(C)C[C@H]1c1ccccc1,4.49593216,-0.714083553
OC[C@]1(COC1=O)C#N,8.065313982,2.114175819
Cc1ccc2c(c1NC)ONO2,3.95744589,-0.678409818
COCCOc1ccc2c(c1C#N)ONO2,4.425788343,0.954929109
C=C[C@@H]1C=COC=C1C#N,5.068595549,0.604738403
COCCOc1ccc(O)s1,3.769865986,-0.416788052
CC[C@@H]1CCC[C@@H]1OC,5.545799889,-1.048299156
c1ccc(cc1)C1=CS/C(=C\2/SC=C(O)S2)/S1,3.202713565,0.560030989
CC(C)(C)c1c(Cl)nccn1,5.650029575,0.829104641
c1(cc(ccn1)c1ccncc1)O,5.374989666,1.083448396
c1cc(C#N)c2c(c1)n(N)s[nH]2,3.680374159,0.814272671
c1ccc(cc1)C1=C(O)OC=CO1,3.780377729,0.029961898
C=Cc1cn(C)cc(C#N)c1=c1ccn(C)cc1,2.376519239,0.467432467
Cc1cc(F)ncc1O,6.461676891,1.584355492
CN(C)[C@@H]1CN(C)[C@@H](CN1C)OC,4.100583993,-1.03643423
CC1=COC(=CO1)O,3.7789701,-0.512708359
c1cc2c(cc1OC)C(=O)c1c(C2=O)c(ccc1)OC,5.099557451,2.112252116
Cc1ccc(F)c(=N)o1,5.965640474,2.138281429
CC(C)(C)c1cscc1OCCOCCOCCOC,4.408377822,-0.739710396
CN1C=C[C](C=C1)[C]1C=CN(C)C=C1N,1.712766266,-0.249528103
C1C(CCSC1)(C(=O)O)C(=O)O,4.913139612,0.49084865
c1cc(ccn1)c1cc(ncc1C)OC,4.861296084,0.846997878
[C@](CCC=C(C)C)(C=C)(C)O,4.789802366,-0.664070602
N1(C(=O)C)CCCCC1,5.043349083,-0.881034836
Cn1ccc(=c2ccn(cc2)CC#N)c(c1)Cl,2.171429867,0.006445646
CCC1=C(CC=CS1)c1ccccc1,3.948755229,0.00355174
COC1=CS/C(=C\2/SC=C(O)S2)/S1,3.20449225,0.809428342
CN(C)C1=CCC(=CS1)OC,3.510288577,-0.719910087
C#CCn1ccc(=c2ccn(C)c(c2)OCCOC)cc1,1.7766505,-0.39100605
c1cc(c2c(c1O)ONO2)O,4.477637063,-0.254130805
