smiles,IE,EA,IE_binned
C[C@@]12CN3[C@H]4[C@@H]3[C@]1(C)[C@@H]24,5.524911106,0.390630715,5
CN(C)C1=CSC(=CC1)OC,3.225034168,-0.746362363,3
C1=C(N(=O)=O)SC(=CS1)O,4.32593405,2.121608584,4
CCN1Oc2cccc(c3ccccc3)c2O1,4.176701776,0.350169635,4
C1C[C@H](CC[C@@H]1C(=O)O)N(=O)=O,6.748335589,1.417703909,6
C=CC1=C(C#N)S[C](C2=[S]C=CS2)S1,3.478670804,1.476525693,3
C#Cc1cc(cs1)OCCOCCOCCOC,4.368653106,0.650424218,4
O,7.902120752,-1.343401043,7
CC1=COC=C(N)O1,3.395806897,-0.829156345,3
C/C(=N/c1cscc1OCCOCCOC)/O,4.391784777,0.044073523,4
C#Cc1cnc(cn1)/N=C(/C)\O,4.867064816,1.075879898,4
C=C[C@@H]1CCC[C@@H]1NC,4.453355306,-0.851965568,4
S(/C(=C(/Sc1ccc(cc1)C)\Cl)/Cl)c1ccc(cc1)C,4.310063135,1.745035939,4
CNc1cccs1,3.522828499,-0.370812389,3
CCc1c(ccc2c1ONO2)C(C)(C)C,4.269985491,-0.424419254,4
CCc1cc(N(=O)=O)sc1,5.537475628,2.137530741,5
c1ccc(cc1)c1cc2c(cc1N)[nH]s[nH]2,3.249933566,0.161601504,3
C=CC1(CCCC1)c1ccccc1,4.945322366,-0.404726446,4
COCCOCCOCCOc1ccc2c(c1)[nH]s[nH]2,3.092605941,-0.211090274,3
CCn1ccc(=c2ccn(C)cc2)cc1,1.836442316,-0.516442829,1
C/C(=N/c1c2CCCCc2c(c2ccccc2)c(c1O)O)/O,4.064612475,0.079690117,4
CN[C@@H]1CN(C)C[C@H](NC)N1C,4.063310537,-1.165866127,4
c1cc2c(cc1C(Cl)(Cl)Cl)C(=O)c1c(C2=O)cc(cc1)C(Cl)(Cl)Cl,6.176272747,2.502514279,6
CNc1c(ccn1C)C(=O)O,3.669185338,-0.103570861,3
C[C@@]12[C@@H]3CN4[C@@H]([C@H]13)[C@@]24C,5.464330946,0.373008093,5
CNc1c2CCCCc2c(c(c1O)O)Cl,4.315485235,-0.459731355,4
CN(C)C1=C(O)OC=CC1,3.420598337,-0.978015889,3
C1(=CC(=O)C=CC1=O)c1ccccc1,5.332271056,2.742953933,5
C/C(=N/c1c(ccs1)N(=O)=O)/O,4.685250349,1.850723356,4
COCCOn1c2ccc(cc2[nH]s1)O,3.871630464,1.625648267,3
C=Cc1c(ccc2c1ONO2)C(F)(F)F,4.713496963,0.849293839,4
c1(ccccn1)c1ccccn1,5.128533754,0.785077441,5
S(CC(C)C)CC(C)C,4.724291506,-1.034853986,4
COC1=CC=C[C@H]1C(=N)O,4.470007963,-0.015458875,4
Nc1c(F)[nH]c(=O)cc1,5.298647848,2.018612139,5
c1ccc(cc1)c1c(ccs1)Cl,4.57605853,0.54467828,4
Cc1cc(N)sc1,3.639271483,-0.626751844,3
C(OC)Cl,6.278538807,1.933955205,6
CC(C)(C)c1ccc(c2ccccc2)s1,4.16009122,0.41325688,4
C=Cc1ccc(C(=O)O)s1,4.816611041,1.372149831,4
C(=N\Nc1ccccn1)/c1ccc(cc1)N(=O)=O,4.359961858,2.112690644,4
CO[C@@H]1C=COC(=C1)c1ccccc1,4.756274766,0.373852921,4
CNc1ccc2c(c1N(=O)=O)ONO2,4.0653682,1.925529755,4
C#Cc1ccsc1C(=O)C,5.222096002,1.401793265,5
CN(C)C1=C[C@@H](C=CS1)C(=O)O,3.98195149,0.122250126,3
c1c(cc2c(c1F)ONO2)F,4.708618966,0.418674345,4
c1c(csc1C#N)O,4.951055566,0.884451336,4
