smiles,fr_func_grp_1_solv,fr_func_grp_2_solv,fr_func_grp_3_solv,fr_func_grp_4_solv,fr_func_grp_5_solv,fr_func_grp_6_solv,fr_func_grp_7_solv,fr_func_grp_8_solv,fr_func_grp_9_solv,fr_func_grp_10_solv,fr_func_grp_11_solv,fr_func_grp_12_solv,fr_func_grp_13_solv,fr_func_grp_14_solv,fr_func_grp_15_solv,fr_func_grp_16_solv,fr_func_grp_17_solv,fr_func_grp_18_solv,fr_func_grp_19_solv,fr_func_grp_20_solv,fr_func_grp_21_solv,fr_func_grp_22_solv,fr_func_grp_23_solv,fr_func_grp_24_solv,fr_func_grp_25_solv,fr_func_grp_26_solv,fr_func_grp_27_solv,fr_func_grp_28_solv,fr_func_grp_29_solv,fr_func_grp_30_solv,fr_func_grp_31_solv,fr_func_grp_32_solv,fr_func_grp_33_solv,fr_func_grp_34_solv,fr_func_grp_35_solv,fr_func_grp_36_solv,fr_func_grp_37_solv,fr_func_grp_38_solv,fr_func_grp_39_solv,fr_func_grp_40_solv,fr_func_grp_41_solv,fr_func_grp_42_solv,mol_wt,num_heavy_atom,num_HBA,num_rings,mol_sssr,clogp,molar_refractivity,tpsa,frac_sp3,hall_kier_alpha,labute_ASA,num_valence_electron,max_partial_charge,min_partial_charge,IE
COCCON1Oc2cccc(c2O1)C(Cl)(Cl)Cl,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.96754083999997,18,5,2,2,2.994500000000002,66.60200000000003,40.160000000000004,0.4,-0.43,118.871269190864,100,0.21932679875997346,-0.3822100649137687,4.454605476
CN1CCN(C)[C@@](C1)(c1ccccc1)F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,208.137576764,15,2,2,2,1.6860999999999995,59.35500000000004,6.48,0.5,-0.9300000000000002,90.30042739568037,82,0.20179946923458458,-0.3001669826405162,4.413708895
C1=CSC(=C[C@@H]1C(=N)O)N(=O)=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.009913052,12,4,1,1,1.51647,45.6539,87.22,0.16666666666666666,-1.2999999999999998,72.4345948812407,64,0.30398121527095956,-0.4960917128400498,5.067773458
c1cc(c2c(c1)n(C#N)s[nH]2)C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,207.0102474,14,5,2,2,1.6609799999999997,52.707,76.36,0.0,-1.87,84.20735262890311,70,0.337413023648838,-0.4775821368432749,3.896306487
CCc1cn(C)cc/c/1=c\1/ccn(C)cc1OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.15756326,18,3,2,2,2.9829000000000017,74.29800000000003,15.71,0.3333333333333333,-1.9000000000000001,109.02197573131595,96,0.14238591037364645,-0.4945711432793502,1.572031111
O(C)[C@@H]1O[C@H](C=C1)OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.06299418,9,3,1,1,0.5178,31.81899999999999,27.69,0.6666666666666666,-0.38,54.20916310261975,52,0.17961344053003256,-0.3521126647852579,5.776907953
C1[C@H](C[C@H](SC1)C)OC,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.076536068,9,2,1,1,1.9168999999999998,41.951000000000015,9.23,1.0,0.31,61.15972781555209,54,0.05892466572743945,-0.3813865328608997,4.788165321
C=C[C@@H]1C=COC(=C1)C#N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.052763844,10,2,1,1,1.73998,37.608000000000004,33.019999999999996,0.125,-1.49,59.7253304894994,50,0.19953729150499078,-0.4544918008790151,4.99803765
c1c(c[nH]c1O)N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.048012812,7,2,1,1,0.3025000000000001,26.8699,62.03999999999999,0.0,-1.12,40.77468798971999,38,0.18985722404400188,-0.49452576935278064,3.168424532
Cn1cc/c(=c\2/ccn(C)cc2O)/c(c1)O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.105527688,16,4,2,2,2.0,62.25560000000001,46.94,0.16666666666666666,-2.1,94.40207166301127,84,0.13923630730300895,-0.5057634939625886,1.606117076
